"panelista","encuesta","nombreapp","paquete","version","fuente","categoria","malware","sistema","lanzador","fecha 2020-01","dias 2020-01","uso 2020-01","fecha 2020-02","dias 2020-02","uso 2020-02","fecha 2020-03","dias 2020-03","uso 2020-03","fecha 2020-04","dias 2020-04","uso 2020-04","fecha 2020-05","dias 2020-05","uso 2020-05","fecha 2020-06","dias 2020-06","uso 2020-06"
"8392","XMKNBTBP","""PokerStars ES""","com.pyrsoftware.pokerstars.es","""1.117.0""","com.google.android.packageinstaller","Sin categorizar","","","1"," ","25","4058397","2020-02-25 11:08","24","1918423","0","0","N/D","","27","1039067","","0","","0","0","N/D"
"8422","DUWAIJCJ","sonia","air.com.akamon.bingo.BingoRider","","","","","",""," ","27","97256716","0","0","N/D","","25","2012034","0","0","N/D","","0","","0","0","N/D"
"8422","DUWAIJCJ","sonia","air.com.akamon.bingo.BingoRider","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/14/2020 9:54","13","156407043","0","0","N/D"
"8422","DUWAIJCJ","sonia","com.huuuge.casino.slots","","","","","","","0","0","N/D","0","0","N/D","","25","189298","0","0","N/D","","0","","0","0","N/D"
"8422","DUWAIJCJ","sonia","com.mola.playspace.android.bingo","","","","","",""," ","27","487720","0","0","N/D","","25","387321","0","0","N/D","","0","","0","0","N/D"
"8448","WXDBMVSJ","""Bingo Bash""","air.com.bitrhymes.bingo","""1.135.1""","com.android.vending","Board","","","1"," ","26","0","2020-02-26 18:56","25","0","","30","156476","","29","144334","5/31/2020 21:59","30","12142","","16","0"
"8448","WXDBMVSJ","""Bingo Blitz""","air.com.buffalo_studios.newflashbingo","""4.42.2""","com.android.vending","Board","","","","0","0","N/D","0","0","N/D","","30","0","","29","0","5/31/2020 21:59","30","0","","16","0"
"8448","WXDBMVSJ","sonia","com.grandegames.slots.dafu.casino","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","732412","","0","","0","0","N/D"
"8448","WXDBMVSJ","sonia","com.grandegames.slots.dafu.casino","","","","","","","0","0","N/D","0","0","N/D","","30","732412","0","0","N/D","","0","","0","0","N/D"
"8453","YOARGXHT","sonia","slots.pcg.casino.games.free.android","","","","","","","0","0","N/D","0","0","N/D","","14","1806336","0","0","N/D","","0","","0","0","N/D"
"8653","KXPSDSYF","sonia","playgame.free.scratchers.win.realmoney.lucky.day.casino","","","","","","","0","0","N/D","2020-02-27 20:35","26","7543864","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8750","WUMJSOJF","""Paf Casino""","com.paf.mobile","""2.0.4""","com.google.android.packageinstaller","Sin categorizar","","","1","0","0","N/D","2020-02-24 21:37","23","0","0","0","N/D","0","0","N/D","5/13/2020 18:00","12","0","0","0","N/D"
"8750","WUMJSOJF","sonia","com.huuuge.casino.texas","","","","","","","0","0","N/D","2020-02-24 12:15","23","5235307","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8753","OLLEANKM","""Big Time""","com.winrgames.bigtime","""3.4.5""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-29 22:59","28","0","","30","0","","29","0","5/31/2020 21:59","30","0","","14","0"
"8759","IYSAGABE","sonia","com.bingo.tour.party.crazy.free","","","","","","","0","0","N/D","0","0","N/D","","5","65299","0","0","N/D","","0","","0","0","N/D"
"8778","JEBGPRFU","""Lucky Day""","com.luckyday.app","""6.8.2""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","","2","0","0","0","N/D","5/13/2020 19:30","12","0","0","0","N/D"
"8792","MJEGQHHI","sonia","com.mola.playspace.android.bingo","","","","","","","0","0","N/D","2020-02-24 10:32","23","127326","","22","127326","0","0","N/D","","0","","0","0","N/D"
"8792","MJEGQHHI","sonia","es.cabmagazine.bingoencasa","","","","","","","0","0","N/D","2020-02-24 10:32","23","104129","","22","104129","0","0","N/D","","0","","0","0","N/D"
"8792","MJEGQHHI","sonia","air.com.pipastudios.release.praiabingo","","","","","","","0","0","N/D","0","0","N/D","","22","52600","0","0","N/D","","0","","0","0","N/D"
"8810","SIQSFIFJ","""Bingo en Casa""","es.cabmagazine.bingoencasa","""3.3.1""","com.android.vending","Casual","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8844","IGFMJVTI","""Spin Day""","com.viker.spinday","""2.12.0""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8845","ROSLCSHV","sonia","slots.hot.vegas.casino.games.free","","","","","","","0","0","N/D","2020-02-29 16:53","28","100470","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8866","YBYYPVUQ","sonia","com.littlebandit.bingoset","","","","","","","0","0","N/D","2020-02-29 07:59","28","0","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8873","NFWBYTLC","""Bingo Drive""","air.com.glidingdeer.bingodrivemobile","""1.0.325""","com.android.vending","Casino","","","1"," ","28","0","2020-02-24 15:47","23","0","","14","0","","26","0","","0","","0","0","N/D"
"8885","FUHCDIJB","sonia","com.zynga.livepoker","","","","","","","0","0","N/D","2020-02-29 19:23","28","770729","","1","0","0","0","N/D","","0","","0","0","N/D"
"8891","SUJLVWUR","sonia","com.mola.playspace.android.bingo","","","","","",""," ","29","30870","0","0","N/D","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"8975","XNYTHRNY","sonia","air.com.buffalo_studios.newflashbingo","","","","","",""," ","30","73536","0","0","N/D","","29","73536","0","0","N/D","","0","","0","0","N/D"
"8988","KAAOTVFT","""PokerStarsES""","com.pyrsoftware.pokerstars.es","""1.122.0""","com.google.android.packageinstaller","Sin categorizar","","","1","0","0","N/D","2020-02-24 22:54","23","3325","0","0","N/D","0","0","N/D","5/13/2020 10:45","12","11880","0","0","N/D"
"9112","FCFDTAWU","""Loco Bingo Playspace""","com.mola.playspace.android.bingo","""2.54.3""","com.android.vending","Casino","","","1","0","0","N/D","0","0","N/D","","12","0","0","0","N/D","5/23/2020 4:20","22","0","0","0","N/D"
"9184","JYBAYUWH","sonia","com.pyrsoftware.pokerstars.es","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/31/2020 20:45","30","4549007","0","0","N/D"
"9184","JYBAYUWH","sonia","com.zynga.livepoker","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","0","0","N/D","5/31/2020 20:45","30","0","0","0","N/D"
"9186","OMDDDVTU","sonia","com.twelvegigs.heaven.bingo","","","","","","","0","0","N/D","2020-02-25 12:35","24","299897","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"9203","IVESIMUB","sonia","com.casino.games.buffalo.slots.huawei","","","","","","","0","0","N/D","2020-02-27 11:30","26","653092","","16","653092","0","0","N/D","","0","","0","0","N/D"
"9226","MORXPPFA","""Cartones de Bingo""","es.bingo.cartonesbingo","""2.5.0""","com.android.vending","Casual","","","1","0","0","N/D","2020-02-27 18:25","26","0","0","0","N/D","0","0","N/D","5/16/2020 18:00","15","0","0","0","N/D"
"9228","YAICDIXD","sonia","com.huuuge.casino.texas","","","","","","","0","0","N/D","2020-02-28 09:33","27","3345958","0","0","N/D","0","0","N/D","","0","","0","0","N/D"
"9315","EFOLMHVR","""Bingo Journey""","com.bingo.scape.android.free","""1.2.5""","com.android.vending","Casino","","","1","0","0","N/D","2020-02-29 21:14","28","0","","30","0","","29","0","5/17/2020 18:35","16","0","0","0","N/D"
"9315","EFOLMHVR","""Bingo Party""","com.bingo.tour.party.crazy.free","""2.3.7""","com.android.vending","Board","","","1","0","0","N/D","2020-02-29 21:14","28","0","","30","0","","29","0","5/17/2020 18:35","16","0","0","0","N/D"
"9315","EFOLMHVR","sonia","air.com.pipastudios.release.praiabingo","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","2278596","","0","","0","0","N/D"
"9315","EFOLMHVR","sonia","com.arcadegame.games.bingo.holiday.free.slots.bash","","","","","","","0","0","N/D","0","0","N/D","0","0","N/D","","29","271861","","0","","0","0","N/D"
